p0,mean_N_clusters,mean_S_avg,mean_S_max,se_S_avg,se_S_max
0.05,186.745,12.9898,113.67,0.079,2.1968
0.1143,187.125,13.0482,117.795,0.084,2.3364
0.1786,187.48,12.9412,110.985,0.0825,2.3448
0.2429,188.03,12.8966,117.91,0.0734,2.4473
0.3071,186.61,12.932,112.485,0.0762,2.3451
0.3714,187.315,12.9812,115.56,0.0744,2.4435
0.4357,187.03,13.0838,114.125,0.078,2.4913
0.5,187.645,12.9138,118.445,0.0754,2.7157
0.5643,188.525,12.8742,112.57,0.074,2.3721
0.6286,187.405,12.9377,112.375,0.0821,2.5935
0.6929,187.22,13.0482,113.94,0.0789,2.2513
0.7571,186.34,13.041,114.74,0.0809,2.2546
0.8214,187.82,12.859,116.755,0.081,2.7922
0.8857,187.72,12.9519,115.3,0.0735,2.5645
0.95,187.4352,12.9184,113.6373,0.0882,2.2598
